month,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kWh,unused_kWh,emergency_events
2025-02,1195474.9170283314,4648.949599347921,1200123.8666276794,798.3504123868878,148374.4290419459,22
2025-03,1073147.667861947,71232.61349559015,1144380.2813575373,11025.869338595225,188148.3627543866,36
2025-04,861690.7955875273,147023.39174270502,1008714.1873302324,22745.395616448255,182832.32758030496,39
2025-05,824715.8807016781,348700.5762657394,1173416.4569674176,54950.80541182876,190953.53462534957,49
2025-06,1059718.1197895382,874792.5043433574,1934510.6241328956,140859.65074558722,65221.12012182794,78
2025-07,1212521.5406604996,954075.0251663782,2166596.565826878,158544.56214694318,83083.97247384625,70
2025-08,1195164.3554465056,111435.33271262933,1306599.688159135,16691.76114088689,235390.3506772935,51
2025-09,1106551.9622172858,46243.39065743349,1152795.3528747193,8180.0333901666645,273425.7187161369,20
2025-10,1043758.9799952544,169882.79238461584,1213641.7723798703,29204.79575091936,154451.15883858764,36
2025-11,1152437.3542901294,281236.9184819448,1433674.272772074,45978.316590321,41207.892265777504,73
2025-12,1469388.0269469947,715130.2989853303,2184518.325932325,125901.43422432702,10016.854919819232,106
