set,group,group_type,group_value,n,mae_kW,rmse_kW,bias_kW
A,F0_original,node,6,12024,131.7147161796446,173.040742673266,7.526325432987842
A,F0_original,node,12,12024,143.75313393463054,192.4116694726437,2.025084375346563
A,F0_original,node,18,12024,151.30240606484753,203.88124738349438,0.4990457898317097
A,F0_original,month,2025-02,3024,116.05850575075678,146.65422171974095,-31.228219082343063
A,F0_original,month,2025-03,3348,113.20376218674294,143.115280618277,17.059864058749028
A,F0_original,month,2025-04,3240,102.55020129835157,128.59966452961214,29.91669318266759
A,F0_original,month,2025-05,3348,140.74279972089516,186.26743563534507,39.93341481939205
A,F0_original,month,2025-06,3240,160.7379700586581,209.57027784382467,14.475083467926792
A,F0_original,month,2025-07,3348,201.95531010263966,258.0247368900194,10.04098731824325
A,F0_original,month,2025-08,3348,159.51461066444352,200.36343373215587,-70.31885573144177
A,F0_original,month,2025-09,3240,200.2513323851224,275.53287303755127,-76.00714553257313
A,F0_original,month,2025-10,3348,117.11496327189347,149.37595822027328,25.552882976903003
A,F0_original,month,2025-11,3240,104.16051056431118,130.36325829058364,32.43747757938273
A,F0_original,month,2025-12,3348,145.95618623815426,194.2233334231453,41.23743548221833
A,F0_original,day,2025-02-01,108,193.1888968981001,226.31941297832302,-177.28258387001716
A,F0_original,day,2025-02-02,108,183.82982407827276,211.31331954692027,-175.12565814513258
A,F0_original,day,2025-02-03,108,130.9416893933619,165.86310582746427,-108.65749918910758
A,F0_original,day,2025-02-04,108,127.5091187048166,157.99786377830864,-40.39575731181386
A,F0_original,day,2025-02-05,108,100.67335115506715,142.9122852707366,-38.35050227191969
A,F0_original,day,2025-02-06,108,99.33510761037903,124.3662580887818,11.157927068115592
A,F0_original,day,2025-02-07,108,132.3476672054893,173.32628385564792,-83.25281863362343
A,F0_original,day,2025-02-08,108,104.07764109983027,133.42773393708413,-14.559119555597123
A,F0_original,day,2025-02-09,108,113.75302614713968,138.23935854964523,-61.50153882676351
A,F0_original,day,2025-02-10,108,130.32448192583033,162.13222371149735,-84.1113094331904
A,F0_original,day,2025-02-11,108,98.78745782177866,128.50804664094696,-56.7791317753925
A,F0_original,day,2025-02-12,108,98.5788688920902,119.73926029014392,-23.61481918210643
A,F0_original,day,2025-02-13,108,121.5769270131858,151.72744572698306,-90.62701588821966
A,F0_original,day,2025-02-14,108,123.41653052041217,155.19801845828235,-71.54267427891308
A,F0_original,day,2025-02-15,108,112.3213814496403,140.81606557390103,38.351047835970434
A,F0_original,day,2025-02-16,108,108.42850539217274,132.09191314210608,13.376902653799672
A,F0_original,day,2025-02-17,108,99.3856375853801,123.56667747812908,-8.775955444856242
A,F0_original,day,2025-02-18,108,112.49458258050358,140.84726629008648,-5.493817807282034
