set,group,n,mae_kW,rmse_kW,bias_kW,mean_under_kW,mean_over_kW
A,F0_original,36072,142.25675205970754,190.2041992253019,3.3501518660553713,72.80345196288147,69.4533000968261
A,F1_hist_mean,36072,141.72491874114124,188.2521370705776,0.20997982263284648,70.96744928188704,70.7574694592542
A,F2_intraday_linear,36072,133.11487453371168,173.68083644166748,-0.7842904566736325,66.16529203851904,66.94958249519267
B,F0_original,73146,145.76136684972198,195.74326808926799,2.2427765425220763,74.00207169612203,71.75929515359994
B,F1_hist_mean,73146,145.09520611980446,193.32928064644437,0.22987180701508045,72.66253896340977,72.43266715639469
B,F2_intraday_linear,73146,139.66057506890456,183.6298853320079,-0.10054896232610597,69.78001305328924,69.88056201561533
tail,F0_original,1002,163.04135310832447,229.6578002967111,6.839108965998589,84.94023103716152,78.10112207116293
tail,F1_hist_mean,1002,166.23796804351028,231.3688848971105,-0.09599848308097828,83.07098478021466,83.16698326329565
tail,F2_intraday_linear,1002,163.47931827523988,218.42573953670123,-5.33019956117212,79.07455935703389,84.40475891820601
B_nontail,F0_original,72144,145.52136704057472,195.2307561269331,2.1789385921960127,73.85015281638536,71.67121422418936
B_nontail,F1_hist_mean,72144,144.80155664864185,192.74810217527647,0.23439778326641578,72.51797721595413,72.28357943268773
B_nontail,F2_intraday_linear,72144,139.32975919103882,183.10005748839401,-0.027914926231023113,69.65092213240389,69.67883705863491
