strategy_id,predictor_id,alpha,date,initial_kWh,final_kWh,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events,solved,solver_seconds,mip_gap,milp_fallback,nominal_terminal_error_kWh
R_q85,ridge,0.85,2025-02-01,8801.462273333342,7489.28506026382,45172.50453058195,0.0,8834.349213888947,16531.257237485508,14571.277854125834,3272.1565964292,23933.616141306535,0.0,23933.616141306535,0,0,True,0.023309400072321296,0.0,False,0.0
R_q85,ridge,0.85,2025-02-02,7489.28506026382,7570.176177762561,93810.78612981233,0.0,11359.953706429853,21167.118250703254,17072.56377732077,4013.6633558837448,59795.93445620935,0.0,59795.93445620935,0,0,True,0.032640600111335516,0.0,False,0.0
R_q85,ridge,0.85,2025-02-03,7570.176177762561,6585.238271738694,88419.47293715103,0.0,5027.868846433277,21374.377400732817,18199.689810015065,4159.625496741623,55901.170453671584,0.0,55901.170453671584,0,0,True,0.03138559986837208,0.0,False,0.0
R_q85,ridge,0.85,2025-02-04,6585.238271738694,6878.410935722702,90506.24050718691,0.0,4501.096178673964,23928.552531196496,19118.272152683552,4517.107714528935,57076.96213966466,0.0,57076.96213966466,0,0,True,0.024610399967059493,0.0,False,0.0
R_q85,ridge,0.85,2025-02-05,6878.410935722702,6377.248843858021,87342.74095284325,0.0,2604.9015693973975,23370.833067319756,19381.42066720722,4490.574491977223,54913.23690608414,0.0,54913.23690608414,0,0,True,0.03400310012511909,0.0,False,0.0
R_q85,ridge,0.85,2025-02-06,6377.248843858021,6628.763816288896,89644.77203727158,11.121735290064976,4775.992240767838,23065.688631259844,18456.844316132687,4357.329342696285,56487.53785800525,64.96761669691455,56552.505474702164,1,1,True,0.03096949984319508,0.0,False,0.0
R_q85,ridge,0.85,2025-02-07,6628.763816288896,6308.680729128901,42693.65750094154,0.0,7490.5079463532775,19397.603507187327,16000.133619265738,3717.5529750815936,21967.848011325375,0.0,21967.848011325375,0,0,True,0.034169000107795,0.0,False,0.0
R_q85,ridge,0.85,2025-02-08,6308.680729128901,6325.078886503609,40286.667644605,7.36354968370739,5096.210426880207,18978.419521603133,15357.761470861304,3604.2598933671256,20673.145915103134,45.013379216503274,20718.159294319637,1,1,True,0.03662979998625815,0.0,False,0.0
R_q85,ridge,0.85,2025-02-09,6325.078886503609,6926.550938116567,89618.84305583836,0.0,5060.0319779317315,23484.580340991066,18481.185229751103,4401.923059627008,56444.8241072532,0.0,56444.8241072532,0,0,True,0.026714000152423978,0.0,False,0.0
R_q85,ridge,0.85,2025-02-10,6926.550938116567,6816.728443293909,89792.19060000384,0.0,11864.438337826617,19473.446969391007,15872.332290547103,3710.937173666557,56810.677184793356,0.0,56810.677184793356,0,0,True,0.03857040009461343,0.0,False,0.0
