predictor_id,alpha,case,day_index,point_forecasts_held_frozen,history_residual_error_kWh,correction_error_kWh,protected_error_kWh,plan_error_kWh
ridge,0.7,2025-02-01:load_x1.2,31,True,0.0,0.0,0.0,0.0
ridge,0.75,2025-02-01:load_x1.2,31,True,0.0,0.0,0.0,0.0
ridge,0.8,2025-02-01:load_x1.2,31,True,0.0,0.0,0.0,0.0
ridge,0.85,2025-02-01:load_x1.2,31,True,0.0,0.0,0.0,0.0
ridge,0.9,2025-02-01:load_x1.2,31,True,0.0,0.0,0.0,0.0
ridge,0.7,2025-02-01:pv_x0.7,31,True,0.0,0.0,0.0,0.0
ridge,0.75,2025-02-01:pv_x0.7,31,True,0.0,0.0,0.0,0.0
ridge,0.8,2025-02-01:pv_x0.7,31,True,0.0,0.0,0.0,0.0
ridge,0.85,2025-02-01:pv_x0.7,31,True,0.0,0.0,0.0,0.0
ridge,0.9,2025-02-01:pv_x0.7,31,True,0.0,0.0,0.0,0.0
ridge,0.7,2025-06-21:load_x1.2,171,True,0.0,0.0,0.0,0.0
ridge,0.75,2025-06-21:load_x1.2,171,True,0.0,0.0,0.0,0.0
ridge,0.8,2025-06-21:load_x1.2,171,True,0.0,0.0,0.0,0.0
ridge,0.85,2025-06-21:load_x1.2,171,True,0.0,0.0,0.0,0.0
ridge,0.9,2025-06-21:load_x1.2,171,True,0.0,0.0,0.0,0.0
ridge,0.7,2025-06-21:pv_x0.7,171,True,0.0,0.0,0.0,0.0
ridge,0.75,2025-06-21:pv_x0.7,171,True,0.0,0.0,0.0,0.0
ridge,0.8,2025-06-21:pv_x0.7,171,True,0.0,0.0,0.0,0.0
ridge,0.85,2025-06-21:pv_x0.7,171,True,0.0,0.0,0.0,0.0
ridge,0.9,2025-06-21:pv_x0.7,171,True,0.0,0.0,0.0,0.0
ridge,0.7,2025-12-21:load_x1.2,354,True,0.0,0.0,0.0,0.0
ridge,0.75,2025-12-21:load_x1.2,354,True,0.0,0.0,0.0,0.0
ridge,0.8,2025-12-21:load_x1.2,354,True,0.0,0.0,0.0,0.0
ridge,0.85,2025-12-21:load_x1.2,354,True,0.0,0.0,0.0,0.0
ridge,0.9,2025-12-21:load_x1.2,354,True,0.0,0.0,0.0,0.0
ridge,0.7,2025-12-21:pv_x0.7,354,True,0.0,0.0,0.0,0.0
ridge,0.75,2025-12-21:pv_x0.7,354,True,0.0,0.0,0.0,0.0
ridge,0.8,2025-12-21:pv_x0.7,354,True,0.0,0.0,0.0,0.0
ridge,0.85,2025-12-21:pv_x0.7,354,True,0.0,0.0,0.0,0.0
ridge,0.9,2025-12-21:pv_x0.7,354,True,0.0,0.0,0.0,0.0
lightgbm,0.7,2025-02-01:load_x1.2,31,True,0.0,0.0,0.0,0.0
lightgbm,0.75,2025-02-01:load_x1.2,31,True,0.0,0.0,0.0,0.0
lightgbm,0.8,2025-02-01:load_x1.2,31,True,0.0,0.0,0.0,0.0
lightgbm,0.85,2025-02-01:load_x1.2,31,True,0.0,0.0,0.0,0.0
lightgbm,0.9,2025-02-01:load_x1.2,31,True,0.0,0.0,0.0,0.0
lightgbm,0.7,2025-02-01:pv_x0.7,31,True,0.0,0.0,0.0,0.0
lightgbm,0.75,2025-02-01:pv_x0.7,31,True,0.0,0.0,0.0,0.0
lightgbm,0.8,2025-02-01:pv_x0.7,31,True,0.0,0.0,0.0,0.0
lightgbm,0.85,2025-02-01:pv_x0.7,31,True,0.0,0.0,0.0,0.0
lightgbm,0.9,2025-02-01:pv_x0.7,31,True,0.0,0.0,0.0,0.0
lightgbm,0.7,2025-06-21:load_x1.2,171,True,0.0,0.0,0.0,0.0
lightgbm,0.75,2025-06-21:load_x1.2,171,True,0.0,0.0,0.0,0.0
lightgbm,0.8,2025-06-21:load_x1.2,171,True,0.0,0.0,0.0,0.0
lightgbm,0.85,2025-06-21:load_x1.2,171,True,0.0,0.0,0.0,0.0
lightgbm,0.9,2025-06-21:load_x1.2,171,True,0.0,0.0,0.0,0.0
lightgbm,0.7,2025-06-21:pv_x0.7,171,True,0.0,0.0,0.0,0.0
lightgbm,0.75,2025-06-21:pv_x0.7,171,True,0.0,0.0,0.0,0.0
lightgbm,0.8,2025-06-21:pv_x0.7,171,True,0.0,0.0,0.0,0.0
lightgbm,0.85,2025-06-21:pv_x0.7,171,True,0.0,0.0,0.0,0.0
lightgbm,0.9,2025-06-21:pv_x0.7,171,True,0.0,0.0,0.0,0.0
lightgbm,0.7,2025-12-21:load_x1.2,354,True,0.0,0.0,0.0,0.0
lightgbm,0.75,2025-12-21:load_x1.2,354,True,0.0,0.0,0.0,0.0
lightgbm,0.8,2025-12-21:load_x1.2,354,True,0.0,0.0,0.0,0.0
lightgbm,0.85,2025-12-21:load_x1.2,354,True,0.0,0.0,0.0,0.0
lightgbm,0.9,2025-12-21:load_x1.2,354,True,0.0,0.0,0.0,0.0
lightgbm,0.7,2025-12-21:pv_x0.7,354,True,0.0,0.0,0.0,0.0
lightgbm,0.75,2025-12-21:pv_x0.7,354,True,0.0,0.0,0.0,0.0
lightgbm,0.8,2025-12-21:pv_x0.7,354,True,0.0,0.0,0.0,0.0
lightgbm,0.85,2025-12-21:pv_x0.7,354,True,0.0,0.0,0.0,0.0
lightgbm,0.9,2025-12-21:pv_x0.7,354,True,0.0,0.0,0.0,0.0
