predictor_id,alpha,month,total_cost_yuan,delta_total_cost_yuan,delta_planned_cost_yuan,delta_emergency_cost_yuan
ridge,0.8,2025-02,1202874.410158155,0.0,0.0,0.0
ridge,0.8,2025-03,1137958.817248981,0.0,0.0,0.0
ridge,0.8,2025-04,970341.6518661524,0.0,0.0,0.0
ridge,0.8,2025-05,992125.8113438659,0.0,0.0,0.0
ridge,0.8,2025-06,1401575.6553197857,0.0,0.0,0.0
ridge,0.8,2025-07,1483229.5683549305,0.0,0.0,0.0
ridge,0.8,2025-08,1287658.765513566,0.0,0.0,0.0
ridge,0.8,2025-09,1143566.9879594233,0.0,0.0,0.0
ridge,0.8,2025-10,1130200.1754909765,0.0,0.0,0.0
ridge,0.8,2025-11,1268250.6251933018,0.0,0.0,0.0
ridge,0.8,2025-12,1699599.8923270893,0.0,0.0,0.0
ridge,0.7,2025-02,1190494.3196143864,-12380.090543768601,-29511.776158197084,17131.68561442852
ridge,0.7,2025-03,1166371.923960615,28413.10671163397,-31358.1093746142,59771.216086248234
ridge,0.7,2025-04,995979.433030326,25637.78116417362,-31813.25812876725,57451.03929294087
ridge,0.7,2025-05,981613.2162372338,-10512.5951066321,-38065.57335111278,27552.978244480742
ridge,0.7,2025-06,1416765.3133391554,15189.658019369701,-53397.26978010987,68586.9277994794
ridge,0.7,2025-07,1474097.7993940688,-9131.768960861722,-50972.57278810372,41840.803827241965
ridge,0.7,2025-08,1306196.8494328945,18538.083919328405,-44488.97724070004,63027.061160028315
ridge,0.7,2025-09,1154792.3884003104,11225.400440887082,-42248.015867666574,53473.41630855366
ridge,0.7,2025-10,1132457.2960318169,2257.1205408403184,-36167.00015962613,38424.1207004663
ridge,0.7,2025-11,1244696.7226867664,-23553.902506535407,-30408.54661474214,6854.64410820687
ridge,0.7,2025-12,1692377.7419386308,-7222.150388458511,-38599.85510356701,31377.7047151086
ridge,0.75,2025-02,1191127.8307358678,-11746.579422287177,-19577.85546443821,7831.276042151165
ridge,0.75,2025-03,1153344.4753974406,15385.658148459624,-21705.822962159524,37091.4811106192
ridge,0.75,2025-04,984374.9583502044,14033.30648405198,-22097.066086071427,36130.372570123436
ridge,0.75,2025-05,981388.2356323552,-10737.575711510726,-26445.34347417869,15707.767762667943
ridge,0.75,2025-06,1405571.1916676208,3995.536347835092,-37543.24974508956,41538.78609292445
ridge,0.75,2025-07,1470262.2318998773,-12967.336455053184,-34137.54826782271,21170.21181276965
ridge,0.75,2025-08,1295830.95061893,8172.185105363838,-31374.747885089135,39546.9329904529
ridge,0.75,2025-09,1147877.5585565087,4310.570597085403,-29126.527144294698,33437.09774138025
ridge,0.75,2025-10,1127169.491299196,-3030.6841917806305,-24448.204888440436,21417.520696659794
ridge,0.75,2025-11,1250427.3669357814,-17823.258257520385,-21326.86565772514,3503.6074002049377
ridge,0.75,2025-12,1691304.4037615592,-8295.488565530162,-26741.75207180367,18446.263506273674
ridge,0.85,2025-02,1212630.1122440617,9755.70208590664,10863.83460887405,-1108.132522967468
ridge,0.85,2025-03,1140174.8213569615,2216.0041079805233,13943.934961898485,-11727.930853917926
ridge,0.85,2025-04,967173.078413141,-3168.573453011457,12297.695117331692,-15466.268570343185
ridge,0.85,2025-05,1000123.0145660597,7997.203222193755,16113.095636970596,-8115.89241477679
ridge,0.85,2025-06,1409497.9111622737,7922.255842488026,22105.435304896906,-14183.179462409054
ridge,0.85,2025-07,1495624.5124433243,12394.944088393822,20428.64285327168,-8033.698764877918
ridge,0.85,2025-08,1293409.8645707727,5751.099057206651,18003.442695173668,-12252.343637967075
ridge,0.85,2025-09,1148845.0401702533,5278.052210829919,19053.52498685429,-13775.472776024282
ridge,0.85,2025-10,1134320.1459055466,4119.970414570067,14500.804884219076,-10380.834469648984
ridge,0.85,2025-11,1279088.0984847776,10837.473291475791,12480.436624724884,-1642.9633332490994
ridge,0.85,2025-12,1709151.1735088136,9551.281181724276,15216.980283779558,-5665.699102054965
