date,slot,load_forecast_kW,pv_forecast_kW,net_forecast_kWh,load_kW,pv_kW,net_actual_kWh,residual_kWh,valid
2025-01-01,0,,,,3529.7296,0.0,588.2882666666667,,0
2025-01-01,1,,,,3609.5287,0.0,601.5881166666666,,0
2025-01-01,2,,,,3726.56,0.0,621.0933333333332,,0
2025-01-01,3,,,,3510.6311,0.0,585.1051833333333,,0
2025-01-01,4,,,,3502.5625,0.0,583.7604166666666,,0
2025-01-01,5,,,,3787.01,0.0,631.1683333333333,,0
2025-01-01,6,,,,3900.3205,0.0,650.0534166666666,,0
2025-01-01,7,,,,3916.8376,0.0,652.8062666666666,,0
2025-01-01,8,,,,3817.28,0.0,636.2133333333334,,0
2025-01-01,9,,,,3533.0136,0.0,588.8356,,0
2025-01-01,10,,,,3694.6613,0.0,615.7768833333333,,0
2025-01-01,11,,,,4064.73,0.0,677.4549999999999,,0
2025-01-01,12,,,,3810.671,0.0,635.1118333333333,,0
2025-01-01,13,,,,3844.9495,0.0,640.8249166666667,,0
2025-01-01,14,,,,4234.62,0.0,705.77,,0
2025-01-01,15,,,,4109.9755,0.0,684.9959166666665,,0
2025-01-01,16,,,,3996.8945,0.0,666.1490833333332,,0
2025-01-01,17,,,,4102.19,0.0,683.6983333333333,,0
2025-01-01,18,,,,4086.0577,0.0,681.0096166666666,,0
2025-01-01,19,,,,4133.7626,0.0,688.9604333333333,,0
2025-01-01,20,,,,4179.18,0.0,696.53,,0
2025-01-01,21,,,,3953.3711,0.0,658.8951833333333,,0
2025-01-01,22,,,,3910.7496,0.0,651.7916,,0
2025-01-01,23,,,,4099.31,0.0,683.2183333333334,,0
2025-01-01,24,,,,4123.8623,0.0,687.3103833333332,,0
2025-01-01,25,,,,4169.0068,0.0,694.8344666666667,,0
2025-01-01,26,,,,4260.24,0.0,710.04,,0
2025-01-01,27,,,,4217.2222,0.0,702.8703666666667,,0
2025-01-01,28,,,,4261.857,0.0,710.3095,,0
2025-01-01,29,,,,4341.9,0.0,723.6499999999999,,0
2025-01-01,30,,,,4208.2208,0.0021,701.3697833333333,,0
2025-01-01,31,,,,4302.1233,0.0,717.02055,,0
2025-01-01,32,,,,4456.59,0.0,742.765,,0
2025-01-01,33,,,,4148.637,0.0299,691.4345166666665,,0
2025-01-01,34,,,,4498.1333,0.0,749.6888833333334,,0
2025-01-01,35,,,,5369.38,0.0,894.8966666666666,,0
2025-01-01,36,,,,5440.8991,0.4169,906.7470333333332,,0
2025-01-01,37,,,,5316.893,0.0,886.1488333333333,,0
2025-01-01,38,,,,5399.82,0.0,899.9699999999999,,0
2025-01-01,39,,,,5447.4007,5.8062,906.9324166666667,,0
2025-01-01,40,,,,5444.401,0.0,907.4001666666666,,0
2025-01-01,41,,,,5433.63,3.075,905.0925,,0
2025-01-01,42,,,,5449.2818,175.7953,878.9144166666666,,0
2025-01-01,43,,,,5510.0042,421.496,848.0847,,0
2025-01-01,44,,,,5476.0,677.1,799.8166666666666,,0
2025-01-01,45,,,,5329.4215,950.8112,729.7683833333333,,0
2025-01-01,46,,,,6084.1163,1255.5705,804.7576333333333,,0
2025-01-01,47,,,,7316.0,1592.2875,953.9520833333332,,0
2025-01-01,48,,,,7469.4947,1937.5212,921.9955833333333,,0
2025-01-01,49,,,,7225.691,2225.1261,833.4274833333332,,0
2025-01-01,50,,,,7216.13,2490.1125,787.6695833333333,,0
2025-01-01,51,,,,7361.7004,2826.3146,755.8976333333333,,0
2025-01-01,52,,,,7275.513,3122.1315,692.2302499999998,,0
2025-01-01,53,,,,7077.29,3350.9625,621.0545833333333,,0
2025-01-01,54,,,,7221.8762,3601.7977,603.3464166666665,,0
2025-01-01,55,,,,7229.5513,3875.6352,558.9860166666666,,0
2025-01-01,56,,,,7099.33,4149.825,491.58416666666665,,0
2025-01-01,57,,,,7297.1521,4403.4802,482.27865,,0
2025-01-01,58,,,,7313.1756,4624.7505,448.0708499999999,,0
2025-01-01,59,,,,7099.46,4836.6375,377.13708333333335,,0
2025-01-01,60,,,,7125.5214,5080.7024,340.8031666666666,,0
2025-01-01,61,,,,7096.3104,5338.7528,292.92626666666666,,0
2025-01-01,62,,,,6986.17,5494.725,248.5741666666666,,0
2025-01-01,63,,,,7098.9702,5437.9778,276.83206666666666,,0
2025-01-01,64,,,,7193.993,5396.2126,299.6300666666667,,0
2025-01-01,65,,,,7135.18,5372.1,293.84666666666664,,0
2025-01-01,66,,,,7042.947,5182.9722,309.9958,,0
2025-01-01,67,,,,7069.1675,5131.5011,322.94439999999986,,0
2025-01-01,68,,,,7129.17,5294.775,305.7325000000001,,0
2025-01-01,69,,,,6971.0393,5434.7444,256.0491500000001,,0
2025-01-01,70,,,,6648.4937,5455.5011,198.8320999999999,,0
2025-01-01,71,,,,6471.29,5331.7125,189.92958333333337,,0
2025-01-01,72,,,,6681.1855,5126.6533,259.0886999999999,,0
2025-01-01,73,,,,6585.2714,5118.4895,244.46364999999997,,0
2025-01-01,74,,,,6283.97,5302.575,163.5658333333334,,0
2025-01-01,75,,,,6547.9322,5399.7996,191.3554333333333,,0
2025-01-01,76,,,,6747.6789,5377.6488,228.33835,,0
2025-01-01,77,,,,6682.36,5261.8125,236.7579166666666,,0
2025-01-01,78,,,,6790.9628,5097.6164,282.22440000000006,,0
2025-01-01,79,,,,6916.0165,5029.4534,314.42718333333323,,0
2025-01-01,80,,,,6834.78,5043.8625,298.4862499999999,,0
2025-01-01,81,,,,6546.5252,4973.5844,262.15680000000003,,0
2025-01-01,82,,,,6539.873,4769.7524,295.02009999999984,,0
2025-01-01,83,,,,6773.97,4478.625,382.5575,,0
2025-01-01,84,,,,6736.8117,4209.3909,421.23679999999996,,0
2025-01-01,85,,,,6623.3813,4060.4316,427.1582833333333,,0
2025-01-01,86,,,,6548.98,3934.425,435.75916666666654,,0
2025-01-01,87,,,,6398.5627,3648.1229,458.4066333333334,,0
2025-01-01,88,,,,6196.5854,3431.0164,460.92816666666664,,0
2025-01-01,89,,,,6154.69,3327.3375,471.22541666666655,,0
2025-01-01,90,,,,6459.5818,3139.1175,553.4107166666666,,0
2025-01-01,91,,,,6622.8857,2860.4253,627.0767333333333,,0
2025-01-01,92,,,,6493.61,2505.0,664.7683333333332,,0
2025-01-01,93,,,,6375.0516,2089.695,714.2260999999999,,0
2025-01-01,94,,,,6354.113,1762.1562,765.3261333333332,,0
2025-01-01,95,,,,6404.25,1525.8,813.0749999999999,,0
2025-01-01,96,,,,6444.972,1249.2025,865.9615833333332,,0
2025-01-01,97,,,,6399.4586,968.2219,905.2061166666665,,0
2025-01-01,98,,,,6292.15,706.6125,930.9229166666665,,0
2025-01-01,99,,,,6236.9153,440.4383,966.0794999999999,,0
2025-01-01,100,,,,6299.9437,180.885,1019.8431166666666,,0
2025-01-01,101,,,,6389.06,2.9625,1064.3495833333334,,0
2025-01-01,102,,,,6325.1833,0.0,1054.1972166666665,,0
2025-01-01,103,,,,6169.4734,5.9578,1027.2525999999998,,0
2025-01-01,104,,,,6191.99,0.0,1031.9983333333332,,0
2025-01-01,105,,,,6464.5067,0.0,1077.4177833333333,,0
2025-01-01,106,,,,5764.0309,0.4277,960.6005333333333,,0
2025-01-01,107,,,,4529.45,0.0,754.9083333333333,,0
2025-01-01,108,,,,4490.5328,0.0,748.4221333333332,,0
2025-01-01,109,,,,4644.0206,0.0307,773.9983166666666,,0
2025-01-01,110,,,,4469.21,0.0,744.8683333333333,,0
2025-01-01,111,,,,4470.465,0.0,745.0775,,0
2025-01-01,112,,,,4510.8756,0.0022,751.8122333333333,,0
2025-01-01,113,,,,4486.17,0.0,747.6949999999999,,0
2025-01-01,114,,,,4471.7293,0.0,745.2882166666666,,0
2025-01-01,115,,,,4439.8235,0.0,739.9705833333334,,0
2025-01-01,116,,,,4387.19,0.0,731.1983333333333,,0
2025-01-01,117,,,,4347.9765,0.0,724.66275,,0
2025-01-01,118,,,,4300.6345,0.0,716.7724166666667,,0
2025-01-01,119,,,,4315.99,0.0,719.3316666666666,,0
2025-01-01,120,,,,4483.2744,0.0,747.2124,,0
