strategy_id,predictor_id,alpha,delta_planned_kWh,delta_emergency_kWh,delta_unused_kWh,delta_loss_kWh,delta_final_state_kWh,identity_lhs,identity_residual_kWh
R_q80,ridge,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_q70,ridge,0.7,-618683.8446456231,76567.50874945705,-565393.513587554,23509.348416762892,-232.1707253754612,-618683.8446456236,-4.656612873077393e-10
R_q75,ridge,0.75,-426017.9597136155,45164.53103738645,-398164.51182195544,17503.237667296315,-192.15452157189975,-426017.95971361746,-1.979060471057892e-09
R_q85,ridge,0.85,250753.79206605628,-16297.084448852373,245715.5535065811,-11333.650533847744,74.80464447101258,250753.79206605675,4.656612873077393e-10
R_q90,ridge,0.9,927737.0382485688,-41802.57628788869,931504.3654464865,-45811.71908405889,241.81559825001386,927737.0382485663,-2.444721758365631e-09
L_q80,lightgbm,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_q70,lightgbm,0.7,-614269.0037758611,66671.24247901159,-572023.032654882,24678.560994942207,-253.28963690554065,-614269.0037758569,4.190951585769653e-09
L_q75,lightgbm,0.75,-424229.67272911593,39211.680987612934,-402477.9517848082,17634.857370468555,-174.89732716283197,-424229.6727291154,5.238689482212067e-10
L_q85,lightgbm,0.85,250983.80028775707,-14194.485941092462,248403.6985982135,-11677.819013387663,63.43476183677831,250983.8002877551,-1.979060471057892e-09
L_q90,lightgbm,0.9,919005.0030496232,-34549.894310996184,930892.69679739,-46689.148744147504,251.56068538570344,919005.0030496244,1.1641532182693481e-09
