group,date,total_cost_yuan,emergency_kWh,state_end_kWh
Q42,2025-02-01,18072.16102020545,0.0,3249.928188905094
Q42,2025-02-02,64546.965591635315,0.0,2741.1488583016303
Q42,2025-02-03,64304.755942884425,0.0,2402.94772344336
Q42,2025-02-04,61612.60891270363,0.0,1535.4042794621714
Q42,2025-02-05,63882.31029636948,384.81621874666007,2374.596490595465
Q42,2025-02-06,62383.47787345056,25.16890554538122,1676.7676558191336
Q42,2025-02-07,18050.465696166302,0.0,1766.1184365633057
Q42,2025-02-08,16903.189152782972,0.0,2612.2180902597797
Q42,2025-02-09,61478.536148350315,0.0,2691.3191858754635
Q42,2025-02-10,60147.2896871244,0.0,2518.3409499758463
Q42,2025-02-11,59492.211637121756,0.0,2019.9328751964454
Q42,2025-02-12,58118.00430331216,0.0,1703.8509644911878
Q42,2025-02-13,57855.71826498152,0.0,1909.2271054911798
Q42,2025-02-14,15611.979599351072,0.0,1934.54475577151
Q42,2025-02-15,16188.999929349025,241.9890395075576,1846.4052919449948
Q42,2025-02-16,55701.65340816055,224.01951856180042,1260.8534548211283
Q42,2025-02-17,54988.655972870605,0.0,1951.6276279156582
Q42,2025-02-18,53542.32381351756,0.0,1840.7327649667634
Q42,2025-02-19,52980.858422813486,227.3767326891718,1200.0
Q42,2025-02-20,53504.57080034437,18.864884293585305,1846.4124267058605
Q42,2025-02-21,14744.837839859832,0.0,1656.6750544270094
Q42,2025-02-22,14761.071585408758,2.392122553127763,1983.860096912724
Q42,2025-02-23,50084.46343611105,22.869948433078207,1325.5312677943723
Q42,2025-02-24,51618.156035726344,21.915290965213874,1505.3112079162286
Q42,2025-02-25,51031.77431212152,59.336382462999495,1536.1287912576431
Q42,2025-02-26,49850.408554027745,0.0,1516.9263655578031
Q42,2025-02-27,49848.06096151752,317.37917873013004,1702.0562985542044
Q42,2025-02-28,14014.502264738785,0.0,1726.0556451718614
Q42,2025-03-01,13884.953014394772,0.0,2210.3127725649324
Q42,2025-03-02,68575.88570482895,3543.4792747640004,1200.0
Q42,2025-03-03,53583.0754874457,609.8868631396568,1249.6862923932688
Q42,2025-03-04,50938.452739465596,0.0,1376.0856993763766
Q42,2025-03-05,49673.50620489632,3.2866666666666333,1743.1878682327865
Q42,2025-03-06,48763.57671755864,0.0,1560.9426589492678
Q42,2025-03-07,13487.415032673009,0.0,2351.953097909426
Q42,2025-03-08,12783.720172716705,12.555154938047714,2231.292476381092
Q42,2025-03-09,46797.18954898484,0.0,1640.8872649578523
Q42,2025-03-10,47683.43305950857,0.0,2298.5647753254893
Q42,2025-03-11,49289.82372461159,0.0,2079.2337323168836
Q42,2025-03-12,44794.00373332406,0.0,1533.3078220100656
Q42,2025-03-13,51939.39394762517,1007.751791747796,1465.9026670657222
Q42,2025-03-14,12841.957667628407,0.0,2600.2018271721495
Q42,2025-03-15,12706.847155797315,0.0,2234.819270107942
Q42,2025-03-16,45366.956462868635,1.6399999999999864,1946.8711474728084
Q42,2025-03-17,43038.11737593497,0.0,2078.8115392171567
Q42,2025-03-18,43145.98138732379,0.0,1872.88042050118
Q42,2025-03-19,42054.298919772504,0.0,2861.6324206605377
Q42,2025-03-20,42771.26453253567,0.0,1621.6195267270275
Q42,2025-03-21,11958.251959450816,0.0,1611.4032843549298
Q42,2025-03-22,12167.059815614431,0.0,2515.4435070482245
Q42,2025-03-23,38942.64235538979,0.0,1700.481088649195
Q42,2025-03-24,39652.595087675436,6.552770711175299,2142.7582639392117
Q42,2025-03-25,40445.38768675828,0.0,1603.810253991582
Q42,2025-03-26,40126.15976787338,0.0,1881.5877697703693
