group,date,ordinary_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kWh,charge_kWh,discharge_kWh,state_start_kWh,state_end_kWh
F42,2025-03-20,43554.76280397274,0.0,0.0,43554.76280397274,0.0,20623.943542521454,17082.083217181138,2053.7074150242574,1635.1641397589701
F42,2025-06-21,17821.8690769632,0.0,0.0,17821.8690769632,0.0,12480.160070017382,9813.980120395703,2637.3773176403124,2965.0990246607307
F42,2025-09-23,44714.44650994084,0.0,2757.8505764389215,47472.29708637976,409.68141647909374,20940.019976319672,16830.034707594008,1420.5046372078239,1566.4840519021852
F42,2025-12-21,74212.71628793191,0.0,0.0,74212.71628793191,0.0,23918.877718001822,19481.293601016016,1917.103455643378,1798.2116229383357
F43_S0,2025-03-20,42025.2664426953,1703.6761080313918,1171.3538622897047,44900.2964130164,229.68479177595466,21503.010936729617,17637.67146668324,1925.2442968058967,1680.5413991033959
F43_S0,2025-06-21,17299.46156351893,93.45736330260064,0.0,17392.91892682153,0.0,12719.838037479709,9976.96927524386,2364.3270152332725,2726.659832027385
F43_S0,2025-09-23,44108.392290153766,1420.4340849588475,291.3396692235135,45820.166044336125,64.8342223529864,22033.222215745605,17764.319605651293,1354.9739042106196,1446.7410032135624
F43_S0,2025-12-21,72038.85808220143,1675.286353304049,211.16588855930996,73925.31032406479,30.031414144821156,24730.046608130036,20141.53229588105,1758.5031526732782,1636.064771233591
F43_S2,2025-03-20,42011.654455013035,1650.479093319419,445.8887530404853,44108.02230137294,85.78828888180482,21450.822482403546,17850.286123957667,2049.559023759886,1521.6480090812208
F43_S2,2025-06-21,17508.41258100874,170.07336670709694,0.0,17678.485947715835,0.0,13733.315679012174,10089.199296483948,1285.4674109574103,2435.230081530646
F43_S2,2025-09-23,43881.9531446655,1305.0374216597356,859.2233325437169,46046.213898868955,159.4036310480687,20619.465505101245,17426.281666898787,2251.757234065539,1446.7410032135624
F43_S2,2025-12-21,71938.95876864393,1409.7439640756,94.06273082443843,73442.76546354398,13.37733496756573,24594.96102831845,20197.638927772623,1815.183220435807,1508.8271150639428
Q42,2025-03-20,42771.26453253567,0.0,0.0,42771.26453253567,0.0,21432.07029866096,18475.988546455537,2861.6324206605377,1621.6195267270275
Q42,2025-06-21,18007.62571092567,0.0,0.0,18007.62571092567,0.0,15584.0586099808,11725.94771250324,2635.4440275529983,3632.26598486545
Q42,2025-09-23,44101.48450820783,0.0,2936.5857364943327,47038.07024470217,435.5127537761385,21035.452139172354,16911.10782464726,1424.69693181069,1566.4840519021852
Q42,2025-12-21,73748.99829654006,0.0,0.0,73748.99829654006,0.0,23067.9813353409,19377.488242785857,2572.7455846319435,1803.386294454471
Q43_S0,2025-03-20,41292.631678916005,1501.5428922949702,1187.5689031835327,43981.743474394505,232.75495004421714,22145.561252926484,18869.322012502143,2703.8661294189696,1668.9579098282022
Q43_S0,2025-06-21,17480.846576262276,93.5975610726558,0.0,17574.444137334933,0.0,15500.66956009723,11636.369993330734,2368.5300800990567,3389.832691596855
Q43_S0,2025-09-23,43449.90111494564,1450.2018747967081,320.72211601733966,45220.82510575969,69.27611532522967,22081.403333319675,17791.414858339896,1341.716734714624,1446.7410032135624
Q43_S0,2025-12-21,71608.36394325018,1638.2751978833599,211.16588855930996,73457.80502969284,30.031414144821156,24112.413945834367,20230.761512169327,2418.2448203594195,1640.7934691999853
Q43_S2,2025-03-20,41227.00044898508,1433.3341241443218,354.2322234598669,43014.56679658927,70.32707989032198,22100.434502676137,19070.118468483146,2849.2811166126808,1550.6516484843728
Q43_S2,2025-06-21,17680.67132205029,170.95795492563715,0.0,17851.629276975924,0.0,16211.10798260894,11413.948582476965,1273.468242784761,3181.300335491735
Q43_S2,2025-09-23,43211.132507519906,1346.2612323880023,820.8596034560966,45378.253343364006,153.9211230915385,20637.354844346926,17443.474532987755,2254.760013287721,1446.7410032135624
Q43_S2,2025-12-21,71496.88630590067,1379.1246940709304,94.06273082443843,72970.07373079604,13.37733496756573,23655.068408581214,20030.72654835952,2479.2029536176333,1512.401689830144
