contrast,fixed,candidate,item,fixed_yuan,candidate_yuan,delta_yuan,delta_share
S42,F42,Q42,total,14463503.57295235,14347907.89204545,-115595.68090690114,-0.007992232333186008
S42,F42,Q42,ordinary,13998469.02759878,13872116.157930791,-126352.86966798827,-0.008735979427852874
S42,F42,Q42,adjustment,0.0,0.0,0.0,0.0
S42,F42,Q42,emergency,465034.5453535687,475791.7341146602,10757.1887610915,0.000743747094667167
S43_S0,F43_S0,Q43_S0,total,14113966.004233152,13993673.285604533,-120292.71862861887,-0.008522956523527114
S43_S0,F43_S0,Q43_S0,ordinary,13485052.222988563,13362493.882512849,-122558.34047571383,-0.008683479926121073
S43_S0,F43_S0,Q43_S0,adjustment,420809.23218956136,421385.5355805627,576.3033910013619,4.083213682309517e-05
S43_S0,F43_S0,Q43_S0,emergency,208104.54905502722,209793.86751111972,1689.3184560925001,0.0001196912657707854
S43_S2,F43_S2,Q43_S2,total,14082972.924260698,13972808.907644086,-110164.01661661267,-0.007822497224775134
S43_S2,F43_S2,Q43_S2,ordinary,13486108.145624783,13362355.91234662,-123752.23327816278,-0.008787365703513862
S43_S2,F43_S2,Q43_S2,adjustment,479056.02015202655,480740.85500843165,1684.8348564050975,0.00011963630587563206
S43_S2,F43_S2,Q43_S2,emergency,117808.75848389018,129712.14028903413,11903.381805143945,0.0008452321728630197
