target,day_index,date,score_days,mine_score_days,chosen_lambda,stored_lambda,max_score_abs_diff,used_default
load,8,2025-01-09,0,0,0.1,0.1,0.0,True
load,9,2025-01-10,0,0,0.1,0.1,0.0,True
load,10,2025-01-11,0,0,0.1,0.1,0.0,True
load,11,2025-01-12,0,0,0.1,0.1,0.0,True
load,12,2025-01-13,0,0,0.1,0.1,0.0,True
load,13,2025-01-14,0,0,0.1,0.1,0.0,True
load,14,2025-01-15,0,0,0.1,0.1,0.0,True
load,15,2025-01-16,0,0,0.1,0.1,0.0,True
load,16,2025-01-17,0,0,0.1,0.1,0.0,True
load,17,2025-01-18,0,0,0.1,0.1,0.0,True
load,18,2025-01-19,0,0,0.1,0.1,0.0,True
load,19,2025-01-20,0,0,0.1,0.1,0.0,True
load,20,2025-01-21,0,0,0.1,0.1,0.0,True
load,21,2025-01-22,0,0,0.1,0.1,0.0,True
load,22,2025-01-23,0,0,0.1,0.1,0.0,True
load,23,2025-01-24,1,1,0.1,0.1,0.0,True
load,24,2025-01-25,2,2,0.1,0.1,0.0,True
load,25,2025-01-26,3,3,0.1,0.1,0.0,True
load,26,2025-01-27,4,4,0.1,0.1,0.0,True
load,27,2025-01-28,5,5,0.1,0.1,0.0,True
load,28,2025-01-29,6,6,0.1,0.1,0.0,True
load,29,2025-01-30,7,7,0.1,0.1,3.637978807091713e-12,False
load,30,2025-01-31,8,8,0.1,0.1,3.637978807091713e-12,False
load,31,2025-02-01,9,9,0.1,0.1,7.275957614183426e-12,False
load,32,2025-02-02,10,10,0.1,0.1,1.0913936421275139e-11,False
load,33,2025-02-03,11,11,0.1,0.1,1.0913936421275139e-11,False
load,34,2025-02-04,12,12,0.1,0.1,3.637978807091713e-12,False
load,35,2025-02-05,13,13,0.1,0.1,1.0913936421275139e-11,False
load,36,2025-02-06,14,14,0.1,0.1,7.275957614183426e-12,False
load,37,2025-02-07,14,14,0.1,0.1,7.275957614183426e-12,False
load,38,2025-02-08,14,14,0.01,0.01,7.275957614183426e-12,False
load,39,2025-02-09,14,14,0.01,0.01,7.275957614183426e-12,False
load,40,2025-02-10,14,14,0.1,0.1,1.4551915228366852e-11,False
load,41,2025-02-11,14,14,0.1,0.1,4.001776687800884e-11,False
load,42,2025-02-12,14,14,0.1,0.1,4.729372449219227e-11,False
load,43,2025-02-13,14,14,0.1,0.1,4.3655745685100555e-11,False
load,44,2025-02-14,14,14,0.1,0.1,4.3655745685100555e-11,False
load,45,2025-02-15,14,14,1.0,1.0,4.729372449219227e-11,False
load,46,2025-02-16,14,14,0.1,0.1,5.4569682106375694e-11,False
load,47,2025-02-17,14,14,0.1,0.1,4.3655745685100555e-11,False
load,48,2025-02-18,14,14,0.1,0.1,4.3655745685100555e-11,False
load,49,2025-02-19,14,14,1.0,1.0,4.3655745685100555e-11,False
load,50,2025-02-20,14,14,1.0,1.0,4.729372449219227e-11,False
load,51,2025-02-21,14,14,1.0,1.0,4.001776687800884e-11,False
load,52,2025-02-22,14,14,1.0,1.0,4.729372449219227e-11,False
load,53,2025-02-23,14,14,1.0,1.0,4.3655745685100555e-11,False
load,54,2025-02-24,14,14,1.0,1.0,2.546585164964199e-11,False
load,55,2025-02-25,14,14,1.0,1.0,7.275957614183426e-12,False
load,56,2025-02-26,14,14,0.1,0.1,7.275957614183426e-12,False
load,57,2025-02-27,14,14,0.1,0.1,7.275957614183426e-12,False
load,58,2025-02-28,14,14,0.1,0.1,7.275957614183426e-12,False
load,59,2025-03-01,14,14,0.1,0.1,7.275957614183426e-12,False
load,60,2025-03-02,14,14,0.1,0.1,3.637978807091713e-12,False
load,61,2025-03-03,14,14,0.01,0.01,7.275957614183426e-12,False
load,62,2025-03-04,14,14,0.001,0.001,7.275957614183426e-12,False
load,63,2025-03-05,14,14,0.001,0.001,1.0913936421275139e-11,False
load,64,2025-03-06,14,14,0.001,0.001,1.0913936421275139e-11,False
load,65,2025-03-07,14,14,0.001,0.001,3.637978807091713e-12,False
load,66,2025-03-08,14,14,0.001,0.001,1.0913936421275139e-11,False
load,67,2025-03-09,14,14,0.001,0.001,1.4551915228366852e-11,False
load,68,2025-03-10,14,14,0.001,0.001,1.4551915228366852e-11,False
load,69,2025-03-11,14,14,0.001,0.001,1.8189894035458565e-11,False
load,70,2025-03-12,14,14,0.001,0.001,1.4551915228366852e-11,False
load,71,2025-03-13,14,14,0.001,0.001,1.8189894035458565e-11,False
load,72,2025-03-14,14,14,0.001,0.001,2.1827872842550278e-11,False
load,73,2025-03-15,14,14,0.001,0.001,1.8189894035458565e-11,False
load,74,2025-03-16,14,14,0.001,0.001,1.8189894035458565e-11,False
load,75,2025-03-17,14,14,0.001,0.001,1.8189894035458565e-11,False
load,76,2025-03-18,14,14,0.001,0.001,1.8189894035458565e-11,False
load,77,2025-03-19,14,14,0.001,0.001,1.4551915228366852e-11,False
load,78,2025-03-20,14,14,0.001,0.001,1.8189894035458565e-11,False
load,79,2025-03-21,14,14,0.001,0.001,1.8189894035458565e-11,False
load,80,2025-03-22,14,14,0.1,0.1,7.275957614183426e-12,False
load,81,2025-03-23,14,14,0.1,0.1,3.637978807091713e-12,False
load,82,2025-03-24,14,14,0.1,0.1,7.275957614183426e-12,False
load,83,2025-03-25,14,14,0.1,0.1,7.275957614183426e-12,False
load,84,2025-03-26,14,14,0.1,0.1,7.275957614183426e-12,False
