target,month,ar1,arma11,ma1,zero
load,2025-01,0,0,0,24
load,2025-02,15,0,0,13
load,2025-03,17,0,0,14
load,2025-04,0,0,0,30
load,2025-05,15,1,0,15
load,2025-06,13,4,1,12
load,2025-07,2,16,0,13
load,2025-08,0,0,0,31
load,2025-09,2,15,2,11
load,2025-10,0,14,0,17
load,2025-11,0,0,0,30
load,2025-12,12,5,0,14
pv,2025-01,0,0,2,28
pv,2025-02,0,1,27,0
pv,2025-03,8,3,20,0
pv,2025-04,0,1,29,0
pv,2025-05,3,9,19,0
pv,2025-06,13,0,17,0
pv,2025-07,0,4,27,0
pv,2025-08,0,24,7,0
pv,2025-09,0,1,29,0
pv,2025-10,2,11,18,0
pv,2025-11,0,0,30,0
pv,2025-12,11,11,9,0
