target,day_index,date,chosen,score_days,trained,reason,tied,score_zero,score_ar1,score_ma1,score_arma11
load,7,2025-01-08,zero,0,False,"score_days=0<7, zero candidate",,,,,
load,8,2025-01-09,zero,0,False,"score_days=0<7, zero candidate",,,,,
load,9,2025-01-10,zero,0,False,"score_days=0<7, zero candidate",,,,,
load,10,2025-01-11,zero,0,False,"score_days=0<7, zero candidate",,,,,
load,11,2025-01-12,zero,0,False,"score_days=0<7, zero candidate",,,,,
load,12,2025-01-13,zero,0,False,"score_days=0<7, zero candidate",,,,,
load,13,2025-01-14,zero,0,False,"score_days=0<7, zero candidate",,,,,
load,14,2025-01-15,zero,0,False,"score_days=0<7, zero candidate",,,,,
load,15,2025-01-16,zero,0,False,"score_days=0<7, zero candidate",,,,,
load,16,2025-01-17,zero,0,False,"score_days=0<7, zero candidate",,,,,
load,17,2025-01-18,zero,0,False,"score_days=0<7, zero candidate",,,,,
load,18,2025-01-19,zero,0,False,"score_days=0<7, zero candidate",,,,,
load,19,2025-01-20,zero,0,False,"score_days=0<7, zero candidate",,,,,
load,20,2025-01-21,zero,0,False,"score_days=0<7, zero candidate",,,,,
load,21,2025-01-22,zero,0,False,"score_days=0<7, zero candidate",,,,,
load,22,2025-01-23,zero,0,False,"score_days=0<7, zero candidate",,,,,
load,23,2025-01-24,zero,0,False,"score_days=0<7, zero candidate",,,,,
load,24,2025-01-25,zero,0,False,"score_days=0<7, zero candidate",,,,,
load,25,2025-01-26,zero,0,False,"score_days=0<7, zero candidate",,,,,
load,26,2025-01-27,zero,0,False,"score_days=0<7, zero candidate",,,,,
load,27,2025-01-28,zero,0,False,"score_days=0<7, zero candidate",,,,,
load,28,2025-01-29,zero,0,True,"score_days=0<7, zero candidate",,,,,
load,29,2025-01-30,zero,1,True,"score_days=1<7, zero candidate",,,,,
load,30,2025-01-31,zero,2,True,"score_days=2<7, zero candidate",,,,,
load,31,2025-02-01,zero,3,True,"score_days=3<7, zero candidate",,,,,
load,32,2025-02-02,zero,4,True,"score_days=4<7, zero candidate",,,,,
load,33,2025-02-03,zero,5,True,"score_days=5<7, zero candidate",,,,,
load,34,2025-02-04,zero,6,True,"score_days=6<7, zero candidate",,,,,
load,35,2025-02-05,ar1,7,True,,ar1,48494.70223864461,44841.243738938545,47414.62768007948,48138.409961546706
load,36,2025-02-06,ar1,8,True,,ar1,49050.81992233173,44712.77922137303,47129.753650643215,47828.86024788518
load,37,2025-02-07,ar1,9,True,,ar1,49218.60540021096,43970.968020552136,46171.22070068543,47189.67184151245
load,38,2025-02-08,ar1,10,True,,ar1,50059.26415576558,43789.295246190246,45990.16808493979,46761.45605308823
load,39,2025-02-09,ar1,11,True,,ar1,48086.28963659624,42805.674532790275,44683.67047520403,45746.28438958779
load,40,2025-02-10,ar1,12,True,,ar1,45587.449805684126,41036.16679614955,42739.86450230806,43930.36163429205
load,41,2025-02-11,ar1,13,True,,ar1,44462.547812123616,40178.15406056487,41748.512644104005,42944.87630612474
load,42,2025-02-12,ar1,14,True,,ar1,42840.92957021113,39113.73979779628,40633.66861272326,41720.08449219052
load,43,2025-02-13,ar1,14,True,,ar1,42278.89936123718,38238.73045735596,39575.10665579574,40844.20814227104
load,44,2025-02-14,ar1,14,True,,ar1,42832.25158681947,38611.44070195666,39768.72941892724,41067.903633838236
load,45,2025-02-15,ar1,14,True,,ar1,42238.322207991274,38137.86561731827,39227.63975391207,40749.12623205249
load,46,2025-02-16,ar1,14,True,,ar1,39909.33146075945,36846.299804158094,37853.487985769425,39185.163239172936
load,47,2025-02-17,ar1,14,True,,ar1,37013.47230497996,34399.980431103766,35419.10790801545,36498.27730661213
load,48,2025-02-18,ar1,14,True,,ar1,35803.62305845427,33694.169951475626,34337.589784887154,35282.89794004158
load,49,2025-02-19,ar1,14,True,,ar1,31945.66265651276,31018.10006380884,31434.466770057992,32170.9175912846
load,50,2025-02-20,zero,14,True,,zero,29882.572163488323,30049.124835259114,30434.54595714008,31195.803021789263
load,51,2025-02-21,zero,14,True,,zero,28017.884456095944,29263.34004359669,29647.99816140504,30129.66771044231
load,52,2025-02-22,zero,14,True,,zero,25996.06028626896,28533.5620898962,28796.82009903909,29373.146127913096
load,53,2025-02-23,zero,14,True,,zero,25791.063196271443,28221.350369064854,28544.053887660397,28884.660940311438
load,54,2025-02-24,zero,14,True,,zero,26269.65726745284,28628.071948637957,28951.243871565017,29045.10040745042
load,55,2025-02-25,zero,14,True,,zero,25646.405781717967,28230.713170749794,28565.002341501517,28520.784870198382
load,56,2025-02-26,zero,14,True,,zero,26051.078467015755,28432.002093959614,28703.209043752107,28691.845103273565
load,57,2025-02-27,zero,14,True,,zero,26484.695759542996,28974.981231405305,29166.983237833345,29083.2921140427
load,58,2025-02-28,zero,14,True,,zero,25851.07021873457,28366.88909717639,28578.48620321153,28538.53741737731
load,59,2025-03-01,zero,14,True,,zero,25755.146227332458,28275.346031857636,28445.736421673075,28385.637050704732
load,60,2025-03-02,zero,14,True,,zero,28604.870541602573,30030.507501225908,30244.184590944264,30263.088718983006
load,61,2025-03-03,zero,14,True,,zero,31484.45383925737,31851.854874005756,32014.63180417596,32054.461646180007
load,62,2025-03-04,ar1,14,True,,ar1,33480.46232121156,32579.104321704886,32769.565202859005,32983.7403694764
load,63,2025-03-05,ar1,14,True,,ar1,35763.895498434336,33142.99334594642,33510.77356541818,33558.48098951223
load,64,2025-03-06,ar1,14,True,,ar1,38010.230909810605,33800.409770330494,34265.06065172621,34052.022746039824
load,65,2025-03-07,ar1,14,True,,ar1,40440.118432035124,34647.285540090095,35246.744464287636,34865.046680489155
load,66,2025-03-08,ar1,14,True,,ar1,43655.18509458192,35739.6376752658,36463.75912919705,35760.37313354232
load,67,2025-03-09,ar1,14,True,,ar1,43302.49074057821,35975.46660147828,36527.15426195819,36264.54883848656
load,68,2025-03-10,ar1,14,True,,ar1,43273.101781515,35836.72081852604,36401.67152754296,36369.25108059323
load,69,2025-03-11,ar1,14,True,,ar1,43979.77445986351,36776.4363848715,37334.29292452535,37445.65558175549
load,70,2025-03-12,ar1,14,True,,ar1,43833.40506478029,36651.06025888781,37233.09890496849,37416.396112217786
load,71,2025-03-13,ar1,14,True,,ar1,43298.79693929844,36299.09172576594,36943.57993272921,37118.64808447806
load,72,2025-03-14,ar1,14,True,,ar1,43425.842312943016,36875.51668397453,37515.61598779676,37741.023026950454
load,73,2025-03-15,ar1,14,True,,ar1,43422.05766706143,37006.037993586986,37723.55138007766,37845.90735975996
load,74,2025-03-16,ar1,14,True,,ar1,39761.5931465237,34165.47728515817,34876.2051119254,34939.3460904192
