strategy_id,scope,mae,rmse,mean_signed,samples
C0_original_naive,load,176.79572117223884,244.28661499529923,-1.9494697043413223,48096
C0_original_naive,pv,185.34649152736193,375.1748781365903,-0.7610173132900867,48096
C0_original_naive,net_demand,303.8291523868929,448.2115496746542,-1.1884523910512308,48096
A0_naive_gate,load,176.79572117223884,244.28661499529923,-1.9494697043413223,48096
A0_naive_gate,pv,185.34670601921155,375.17487814648325,-0.7607554120924823,48096
A0_naive_gate,net_demand,303.8291541375582,448.2115419716763,-1.1887142922488387,48096
A1_load_arima,load,171.34368842372683,228.83272707695144,-3.3948091387900114,48096
A1_load_arima,pv,185.34670601921155,375.17487814648325,-0.7607554120924823,48096
A1_load_arima,net_demand,298.6096753224973,440.2687974195381,-2.6340537266975286,48096
A2_pv_arima,load,176.79572117223884,244.28661499529923,-1.9494697043413223,48096
A2_pv_arima,pv,153.97050765867965,311.72830578771675,-11.340109959378417,48096
A2_pv_arima,net_demand,274.65931125968984,394.4349560875191,9.3906402550371,48096
A3_both_arima,load,171.34368842372683,228.83272707695144,-3.3948091387900114,48096
A3_both_arima,pv,153.97050765867965,311.72830578771675,-11.340109959378417,48096
A3_both_arima,net_demand,269.977684293536,387.05389137235824,7.945300820588405,48096
C3_ridge_gate,load,150.02486407635746,195.98837941402917,7.8490000722210285,48096
C3_ridge_gate,pv,152.0413763306946,303.31841474989403,-3.5551456092282443,48096
C3_ridge_gate,net_demand,248.8581051352954,361.03486034454136,11.404145681449272,48096
