strategy_id,time_version,mode,date,day_index,plan_source,terminal_target,terminal_lower_kWh,terminal_upper_kWh,s143_kWh,s144_kWh,estimated_00_10_kWh,nominal_first_emergency_kWh,elapsed_seconds,mip_gap,objective_gap_yuan,check_bus_balance_max_abs_kWh,check_battery_balance_max_abs_kWh,check_first_state_error_kWh,check_terminal_target_error_kWh,check_state_bound_violation_kWh,check_flow_bound_violation_kWh,check_simultaneous_charge_discharge_kWh,check_binary_integrality_error,check_binary_gate_violation_kWh
N_free,start_time_v1,free,2025-01-03,2,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,1200.0,616.1166666666666,0.01310889981687069,0.0,0.0,1.1368683772161603e-13,6.821210263296962e-13,0.0,0.0,0.0,3.410605131648481e-13,0.0,0.0,3.410605131648481e-13
N_free,start_time_v1,free,2025-01-04,3,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,10259.422222222222,0.0,0.026671799831092358,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,1.6653345369377348e-15,0.0
N_free,start_time_v1,free,2025-01-05,4,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5389.705453518519,0.0,0.025137099903076887,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_free,start_time_v1,free,2025-01-06,5,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,3561.1215409259244,0.0,0.012037500040605664,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_free,start_time_v1,free,2025-01-07,6,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5331.131197962963,0.0,0.03326980001293123,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,2.924982375487738e-14,1.8571316669763314e-12
N_free,start_time_v1,free,2025-01-08,7,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5453.007181481482,0.0,0.03013000008650124,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,7.401486830834376e-13
N_free,start_time_v1,free,2025-01-09,8,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5385.101899259261,0.0,0.04778490005992353,1.189323896614126e-16,7.275957614183426e-12,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,5.551115123125766e-16,1.0519972444705246e-13
N_free,start_time_v1,free,2025-01-10,9,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5512.491484074076,0.0,0.031482999911531806,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-16,4.547473508864641e-13
N_free,start_time_v1,free,2025-01-11,10,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5549.3776962962975,0.0,0.04179480019956827,0.0,0.0,1.1368683772161603e-13,1.2221335055073723e-12,0.0,0.0,0.0,0.0,0.0,1.2490009027032972e-15,0.0
N_free,start_time_v1,free,2025-01-12,11,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5400.012887592592,0.0,0.02413420006632805,0.0,-7.275957614183426e-12,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1.850371707708594e-13
N_free,start_time_v1,free,2025-01-13,12,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5364.668506481482,0.0,0.02310000010766089,1.1871125656998583e-16,7.275957614183426e-12,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0
N_free,start_time_v1,free,2025-01-14,13,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5213.467489259258,0.0,0.03147019981406629,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_free,start_time_v1,free,2025-01-15,14,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5132.784033888888,0.0,0.025946600129827857,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,3.4638958368304884e-14,0.0
N_free,start_time_v1,free,2025-01-16,15,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5195.416048888887,0.0,0.02344370004720986,0.0,7.275957614183426e-12,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,5.662137425588298e-15,1.4802973661668753e-12
N_free,start_time_v1,free,2025-01-17,16,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5412.265865,0.0,0.021310199983417988,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_free,start_time_v1,free,2025-01-18,17,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5349.339152407405,0.0,0.04094840004108846,0.0,0.0,1.1368683772161603e-13,1.9042545318370685e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_free,start_time_v1,free,2025-01-19,18,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5208.563529074074,0.0,0.0209111999720335,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-15,0.0
N_free,start_time_v1,free,2025-01-20,19,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5401.483334629629,0.0,0.026882800040766597,0.0,0.0,1.1368683772161603e-13,7.958078640513122e-13,0.0,0.0,0.0,0.0,0.0,1.3322676295501878e-15,1.1102230246251565e-12
N_free,start_time_v1,free,2025-01-21,20,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5538.9886474074065,0.0,0.031162200029939413,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,1.850371707708594e-13
N_free,start_time_v1,free,2025-01-22,21,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5581.214590555562,0.0,0.02911040000617504,1.2840578491028324e-16,7.275957614183426e-12,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,3.219646771412954e-15,1.1102230246251565e-12
N_free,start_time_v1,free,2025-01-23,22,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5233.570901111109,0.0,0.027617699932307005,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_free,start_time_v1,free,2025-01-24,23,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5533.018887592593,0.0,0.024932699976488948,0.0,0.0,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_free,start_time_v1,free,2025-01-25,24,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5583.963966111113,0.0,0.03434240003116429,0.0,0.0,1.1368683772161603e-13,1.7053025658242404e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_free,start_time_v1,free,2025-01-26,25,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5397.297514629629,0.0,0.03275250014849007,0.0,7.275957614183426e-12,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1.4802973661668753e-12
N_free,start_time_v1,free,2025-01-27,26,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5351.957542037036,0.0,0.02679780009202659,0.0,7.275957614183426e-12,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_free,start_time_v1,free,2025-01-28,27,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5135.525465185184,0.0,0.01969940005801618,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,3.1086244689504383e-15,2.5905203907920318e-12
N_free,start_time_v1,free,2025-01-29,28,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5337.10068,0.0,0.0197740001603961,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_free,start_time_v1,free,2025-01-30,29,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5827.4256516666655,0.0,0.0197395000141114,1.3438378637907602e-16,7.275957614183426e-12,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,6.217248937900877e-15,1.850371707708594e-12
N_free,start_time_v1,free,2025-01-31,30,naive,6000.0,6000.0,6000.0,6000.0,5074.074074074074,5558.297987407406,0.0,0.032453699968755245,0.0,0.0,1.1368683772161603e-13,3.865352482534945e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_free,start_time_v1,free,2025-02-01,31,issued,,1200.0,10800.0,1200.0,1200.0,5552.09784488618,0.0,0.021491199964657426,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,-0.0,1.3322676295501878e-15,1.1102230246251565e-12
N_free,start_time_v1,free,2025-02-02,32,issued,,1200.0,10800.0,1200.0,1200.0,2742.7439596500008,0.0,0.01123779988847673,2.4832618180538345e-16,7.275957614183426e-12,1.1368683772161603e-13,7.389644451905042e-13,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
N_free,start_time_v1,free,2025-02-03,33,issued,,1200.0,10800.0,1200.0,1200.0,2629.6641918777736,0.0,0.012242899974808097,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
N_free,start_time_v1,free,2025-02-04,34,issued,,1200.0,10800.0,1200.0,1200.0,2346.0852017683205,0.0,0.026531500043347478,0.0,7.275957614183426e-12,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,-0.0,4.218847493575595e-15,0.0
N_free,start_time_v1,free,2025-02-05,35,issued,,1200.0,10800.0,1200.0,1200.0,1684.1853123450228,0.0,0.031308300094679,0.0,0.0,1.1368683772161603e-13,8.526512829121202e-13,0.0,0.0,0.0,0.0,-0.0,3.9968028886505635e-15,1.850371707708594e-13
N_free,start_time_v1,free,2025-02-06,36,issued,,1200.0,10800.0,1200.0,1200.0,1765.1437212375704,0.0,0.025074200006201863,1.3078669418582946e-16,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,-0.0,2.4424906541753444e-15,0.0
N_free,start_time_v1,free,2025-02-07,37,issued,,1200.0,10800.0,1200.0,1200.0,1638.9441496503691,0.0,0.03525660000741482,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
N_free,start_time_v1,free,2025-02-08,38,issued,,1200.0,10800.0,1200.0,1200.0,1878.2861468538322,0.0,0.02643169998191297,0.0,0.0,1.1368683772161603e-13,2.2168933355715126e-12,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
N_free,start_time_v1,free,2025-02-09,39,issued,,1200.0,10800.0,1200.0,1200.0,1920.8308648282584,0.0,0.016461700201034546,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,-0.0,1.1102230246251565e-16,0.0
