strategy_id,time_version,publication_date,template_slot,source_label,interval_start,price_yuan_kWh,planned_kWh,emergency_kWh,planned_cost_yuan,emergency_cost_yuan,nominal_state_start_kWh,nominal_state_end_kWh,actual_state_start_kWh,actual_state_end_kWh,terminal_target_kWh
N_fixed6000,start_time_v1,2025-01-02,0,00:10,2025-01-02 00:10:00,0.4248,0.0,0.0,0.0,0.0,6000.0,6000.0,5315.425925925926,4644.583166666667,
N_fixed6000,start_time_v1,2025-01-02,1,00:20,2025-01-02 00:20:00,0.4245,0.0,0.0,0.0,0.0,6000.0,6000.0,4644.583166666667,3973.701481481482,
N_fixed6000,start_time_v1,2025-01-02,2,00:30,2025-01-02 00:30:00,0.4269,0.0,0.0,0.0,0.0,6000.0,6000.0,3973.701481481482,3286.992222222223,
N_fixed6000,start_time_v1,2025-01-02,3,00:40,2025-01-02 00:40:00,0.4272,0.0,0.0,0.0,0.0,6000.0,6000.0,3286.992222222223,2592.451000000001,
N_fixed6000,start_time_v1,2025-01-02,4,00:50,2025-01-02 00:50:00,0.4271,0.0,0.0,0.0,0.0,6000.0,6000.0,2592.451000000001,1910.0614074074083,
N_fixed6000,start_time_v1,2025-01-02,5,00:00,2025-01-02 01:00:00,0.4285,0.0,0.0,0.0,0.0,6000.0,6000.0,1910.0614074074083,1235.2206666666675,
N_fixed6000,start_time_v1,2025-01-02,6,00:10,2025-01-02 01:10:00,0.4311,0.0,603.1843999999992,0.0,1300.1639741999982,6000.0,6000.0,1235.2206666666675,1200.0,
N_fixed6000,start_time_v1,2025-01-02,7,00:20,2025-01-02 01:20:00,0.4302,0.0,642.5204333333334,0.0,1382.0614521,6000.0,6000.0,1200.0,1200.0,
N_fixed6000,start_time_v1,2025-01-02,8,00:30,2025-01-02 01:30:00,0.4279,0.0,630.63,0.0,1349.2328850000001,6000.0,6000.0,1200.0,1200.0,
N_fixed6000,start_time_v1,2025-01-02,9,00:40,2025-01-02 01:40:00,0.4312,0.0,651.2308166666667,0.0,1404.0536407333334,6000.0,6000.0,1200.0,1200.0,
N_fixed6000,start_time_v1,2025-01-02,10,00:50,2025-01-02 01:50:00,0.4333,0.0,661.3733,0.0,1432.86525445,6000.0,6000.0,1200.0,1200.0,
N_fixed6000,start_time_v1,2025-01-02,11,00:00,2025-01-02 02:00:00,0.4311,0.0,647.795,0.0,1396.3221225,6000.0,6000.0,1200.0,1200.0,
N_fixed6000,start_time_v1,2025-01-02,12,00:10,2025-01-02 02:10:00,0.4293,0.0,644.2316833333333,0.0,1382.843308275,6000.0,6000.0,1200.0,1200.0,
N_fixed6000,start_time_v1,2025-01-02,13,00:20,2025-01-02 02:20:00,0.4324,0.0,655.2810166666666,0.0,1416.7175580333333,6000.0,6000.0,1200.0,1200.0,
N_fixed6000,start_time_v1,2025-01-02,14,00:30,2025-01-02 02:30:00,0.4367,0.0,675.9966666666667,0.0,1476.0387216666668,6000.0,6000.0,1200.0,1200.0,
N_fixed6000,start_time_v1,2025-01-02,15,00:40,2025-01-02 02:40:00,0.4348,0.0,694.1636666666666,0.0,1509.1118113333332,6000.0,6000.0,1200.0,1200.0,
